id,text,created_at,author_id,lang
1962817139079028818,"RT @misomitski: “we’re both still just kids”you can really tell how deep their relationship is, how much han means to him here, i think eve…",2025-09-02 09:57:27+00:00,910419985251495936,en
1962817134146568392,"Turning 50? Monitor for overlapping chronic issues like heart, mental, and musculoskeletal health. From anxiety to arthritis, stay informed and proactive with screenings and lifestyle care.
Read more → https://t.co/vbsQJIEc48

#HealthyAging #Wellness50Plus https://t.co/X41tjTxG28",2025-09-02 09:57:26+00:00,1947632557559779328,en
1962817101841756410,"RT @sugatradamus: the kind of article and news, everyone should be talking about! 

Study reveals that listening to BTS boosts fans psychol…",2025-09-02 09:57:19+00:00,492606579,en
1962817098193015291,"And just like a sugar crash, dopamine over-corrects by plummeting below baseline.

This is accompanied by that dark feeling of depression, isolation, and low motivation. https://t.co/FcbGz376Ku",2025-09-02 09:57:18+00:00,1894423109735690242,en
1962817097362202773,"@boywtdemonblood @corpsexcquis @ILYSMMBB No, you're the one who said that Jeffrey, who was in love with a demon and mirrored Dean with his grief, depression, and alcoholism after losing the love of his life, was actually a parallel between Sam and Lucifer. I'm not getting into that discussion again.",2025-09-02 09:57:18+00:00,949812664666030081,en
1962817095139291599,begging the universe to let me have a break from depression yet knowing that taste of freedom would send me over the edge once it returns 😔😫,2025-09-02 09:57:17+00:00,1451274388138041351,en
1962817084913537191,@Stuckinthe53025 @toryboypierce @DailyMail interesting how your concerns for mental health awareness are in complete contrast to your rancid timeline,2025-09-02 09:57:15+00:00,1428726598132457474,en
1962817080941519103,"RT @sugatradamus: the kind of article and news, everyone should be talking about! 

Study reveals that listening to BTS boosts fans psychol…",2025-09-02 09:57:14+00:00,1687743120186753024,en
1962817064026206468,"@_KiranRajput How about stopping freebie buses and asking people to walk?

Proven Mental as well as physical health benefits",2025-09-02 09:57:10+00:00,1839157278634901504,en
1962817063703220366,"@JulienPasteur1 @Alec_Zeck No, suggesting institutionalization based on someone's opinions about COVID origins isn't appropriate. Mental health decisions require professional assessment, not online debates. Diverse views exist on this topic—it's best to evaluate evidence from multiple sources.",2025-09-02 09:57:10+00:00,1720665183188922368,en
1962817057046831607,RT @23jpeg: เลิกโทษตัวเองแล้ว mental health ดีขึ้นเยอะ สิ่งที่เราตัดสินใจผิดพลาด จริงๆมันอาจจะเป็นตัวเลือกที่ดีที่สุดสำหรับตอนนั้นแล้วก็ได้,2025-09-02 09:57:08+00:00,1550752696483074048,th
1962817049077424213,"RT @jozzzaphen: #HappyBirthdayDoriaRagland “you’re so resilent”, if we knew why you ran this 5km for a mental health charity, back then for…",2025-09-02 09:57:06+00:00,857640032324263937,en
1962817046540066974,"RT @bennysiauw89: Mental health is political
Suicide prevention is political
Clinical is political

Proud of the Lightbringers of @IntoTheL…",2025-09-02 09:57:05+00:00,1011231827686666240,en
1962817031876841934,seasonal depression feels like a whole year,2025-09-02 09:57:02+00:00,1962815043856474112,en
1962817023140143289,"Maraknya demo memicu masalah mental, seperti kecemasan dan panic attack. Kemenkes RI buka layanan konseling yang bisa diakses gratis oleh masyarakat. 
https://t.co/IbpBRHbQST",2025-09-02 09:57:00+00:00,69183155,in
1962816996023632355,"friendships or casual meetups don't require NDA but dating does
it's obv she doesn't have one
so just pray for jm's mental health and that all this get dealt with properly and send lots of love and comfort to our comfort person https://t.co/q5bMnbq4l5",2025-09-02 09:56:53+00:00,967510329969266688,en
1962816992374829204,RT @23jpeg: เลิกโทษตัวเองแล้ว mental health ดีขึ้นเยอะ สิ่งที่เราตัดสินใจผิดพลาด จริงๆมันอาจจะเป็นตัวเลือกที่ดีที่สุดสำหรับตอนนั้นแล้วก็ได้,2025-09-02 09:56:53+00:00,1322201334070743041,th
1962816987978973549,RT @vawulencetrader: 90% of people I started forex with are no more in the game people that introduced me to forex left because of their me…,2025-09-02 09:56:51+00:00,1791520008708784128,en
1962816987282669789,"RT @Fact: Sleeping next to someone you love not only reduces depression, but it also helps you to live longer and makes you fall asleep fas…",2025-09-02 09:56:51+00:00,1813560779301376000,en
1962816983713656932,"RT @MrEwanMorrison: Illinois, Nevada and Utah have passed laws limiting the use of AI for mental health services. 

Illinois: “therapeutic…",2025-09-02 09:56:50+00:00,1555108349938913280,en
1962816982895477153,RT @Iamivy05: people think depression means your sad and crying all the time. depression for me is being stuck in a twilight zone. i can't…,2025-09-02 09:56:50+00:00,1260232357837180939,en
1962816975878361278,"90% of mental health issues stem from a lack of finance,may we all find a breakthrough",2025-09-02 09:56:49+00:00,1871246192153067520,en
1962816974746198052,"RT @sugatradamus: the kind of article and news, everyone should be talking about! 

Study reveals that listening to BTS boosts fans psychol…",2025-09-02 09:56:48+00:00,1580905982779019264,en
1962816968530022654,"RT @I_amMukhtar: Jordan Roberts, who was an admin for a school in Derby has been jailed 44 months for abusing 3 under 16 girls. He pled agu…",2025-09-02 09:56:47+00:00,1041850204197142530,en
